PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,FirstName,LastName,CabinSector,CabinRoom,CabinClass
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,Cinets,Datie,F,9,P
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,563.1454168495289,0.0,1750.0,990.0,0.0,Dontch Datie,1,Dontch,Datie,F,9,P
0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,Ziba,Oingwhedly,D,1,S
0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,Luse,Butte,D,1,P
0036_01,Earth,False,F/8/S,55 Cancri e,15.0,*MISSING*,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0,Marina,Leodger,F,8,S
0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0,Loise,Wheelez,F,10,S
0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,164.96584114990944,0.0,0.0,Jorgie Batthewitt,0,Jorgie,Batthewitt,G,1,P
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,Margia,Moodsey,G,2,P
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0,Ankalik,Cylistrand,B,3,P
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0,Jodye,Coopelandez,G,3,P
0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,Kayne,Coopelandez,G,3,P
0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,Cassa,Coopelandez,G,3,P
0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0,Zelowl,Chmad,F,10,P
0045_02,Mars,True,F/10/P,*MISSING*,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1,Mass,Chmad,F,10,P
0050_01,Earth,False,E/1/S,55 Cancri e,35.0,False,790.0,0.0,0.0,219.54130235472837,0.0,Sony Lancis,0,Sony,Lancis,E,1,S
0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0,Vivia,Johnshines,E,2,S
0052_01,Earth,False,G/6/S,TRAPPIST-1e,27.5826464494954,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0,Elaney,Hubbarton,G,6,S
0053_01,Earth,False,F/11/S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1,Elson,Hickerson,F,11,S
0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1,Okulas,Tractive,A,1,S
0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1,Instab,Tractive,A,1,S
0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,1,Zinoces,Tractive,A,1,S
0058_01,Earth,True,G/7/S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0,Warry,Ayalazquez,G,7,S
0061_01,Earth,False,F/12/S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0,Shanya,Salez,F,12,S
0062_01,Earth,False,F/13/S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0,Sterry,Greeves,F,13,S
0064_01,Mars,True,F/14/S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,*MISSING*,1,*MISSING*,*MISSING*,F,14,S
0064_02,*MISSING*,True,E/3/S,TRAPPIST-1e,33.0,False,0.0,0.0,164.97613623564607,0.0,0.0,Colatz Keen,1,Colatz,Keen,E,3,S
0066_01,Earth,False,G/6/P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0,Diandy,Pecketton,G,6,P
0067_01,Earth,True,G/10/S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,Ninaha,Leeves,G,10,S
0067_02,Earth,False,G/10/S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1,Celine,Leeves,G,10,S
0067_03,Earth,False,F/15/S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0,Velyne,Leeves,F,15,S
0068_01,Mars,False,E/4/S,TRAPPIST-1e,30.18571209908298,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0,Cinst,Binie,E,4,S
0069_01,Earth,False,F/16/S,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,*MISSING*,1,*MISSING*,*MISSING*,F,16,S
0070_01,Earth,False,F/13/P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0,Meremy,Brighttt,F,13,P
0071_01,Earth,False,F/14/P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0,Nelly,Dillines,F,14,P
0072_01,Earth,False,F/17/S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0,Thell,Brantuarez,F,17,S
0073_01,Mars,False,D/3/P,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,0,Gorn,Make,D,3,P
0074_01,Europa,False,C/3/S,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,1,Aldibah,Mostedry,C,3,S
0076_01,Mars,False,F/18/S,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,1,Conk,Dal,F,18,S
0077_01,Mars,False,F/15/P,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,1,Pon,Blité,F,15,P
0078_01,Europa,False,C/4/S,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0,Spuri,Pokerheed,C,4,S
0081_01,Earth,True,G/13/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0,Dellie,Vinozarks,G,13,S
0082_01,Mars,False,F/16/P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0,Totse,Datte,F,16,P
0082_02,Mars,True,F/16/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,1,Eaturs,Datte,F,16,P
0082_03,Mars,False,F/16/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,*MISSING*,1,*MISSING*,*MISSING*,F,16,P
0084_01,Earth,False,G/14/S,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1,Coren,Coopezmaney,G,14,S
0085_01,Europa,True,C/5/S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,1,Furudah,Ellcefulve,C,5,S
0086_01,Earth,False,F/17/P,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0,Jodye,Kinson,F,17,P
0088_01,Mars,True,E/5/S,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,1,Stmeal,Sacre,E,5,S
0090_01,Earth,True,G/15/S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1,Heremy,Santry,G,15,S
0091_01,Earth,True,G/16/S,TRAPPIST-1e,26.0,False,-118.47391294989319,0.0,0.0,0.0,0.0,Deanne Yorkland,1,Deanne,Yorkland,G,16,S
0091_02,Earth,False,F/20/S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0,Tinez,Yorkland,F,20,S
0092_01,Earth,False,G/9/P,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0,Gracy,Dunnisey,G,9,P
0092_02,Earth,True,G/9/P,TRAPPIST-1e,0.0,False,0.0,0.0,164.86940329829054,0.0,0.0,Stald Hewson,1,Stald,Hewson,G,9,P
0092_03,Earth,True,G/9/P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1,Tiney,Hewson,G,9,P
0097_01,Europa,False,A/2/S,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0,Alchium,Fictful,A,2,S
0098_01,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0,Doria,Carezquez,G,11,P
0098_02,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1,Leence,Carezquez,G,11,P
0099_01,Earth,False,F/19/P,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0,Aliey,Leetersoney,F,19,P
0099_02,Earth,*MISSING*,G/12/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1,Thewis,Connelson,G,12,P
0101_01,Mars,True,*MISSING*,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Book Trad,1,Book,Trad,*MISSING*,*MISSING*,*MISSING*
0102_01,Earth,False,F/23/S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0,Ritany,Holson,F,23,S
0103_01,Earth,False,F/24/S,TRAPPIST-1e,24.0,False,0.0,247.19951990248367,0.0,0.0,17.0,Arlen Mclainez,1,Arlen,Mclainez,F,24,S
0103_02,Earth,True,G/18/S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1,Shaele,Mclainez,G,18,S
0103_03,Earth,True,G/18/S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0,Fanne,Mclainez,G,18,S
0105_01,Earth,*MISSING*,F/21/P,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0,Carry,Cleachrand,F,21,P
0107_01,Mars,False,D/2/S,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0,Coobix,Hart,D,2,S
0108_01,Earth,True,G/19/S,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0,Natald,Handertiz,G,19,S
0108_02,Earth,False,G/19/S,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,*MISSING*,0,*MISSING*,*MISSING*,G,19,S
0108_03,Earth,False,G/19/S,TRAPPIST-1e,0.0,*MISSING*,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1,Oline,Handertiz,G,19,S
0110_01,Europa,False,*MISSING*,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0,Graviph,Aloubtled,*MISSING*,*MISSING*,*MISSING*
0110_02,Europa,*MISSING*,B/5/P,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0,Aldeba,Bootious,B,5,P
0110_03,Europa,False,B/5/P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,1,Alaratz,Aloubtled,B,5,P
0110_04,Europa,True,B/5/P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,1,Izark,Aloubtled,B,5,P
0111_01,Europa,True,E/6/S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,1,Aldera,Supred,E,6,S
0112_01,Europa,False,B/1/S,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,1,Moth,Cowtale,B,1,S
0113_01,Earth,False,F/23/P,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1,Idary,Carvis,F,23,P
0114_01,Earth,False,G/20/S,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0,Maura,Beckerson,G,20,S
0115_01,Mars,*MISSING*,F/24/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,150.41534977329337,Rohs Pead,1,Rohs,Pead,F,24,P
0116_01,Europa,False,D/4/P,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,1,Alhenah,Suptive,D,4,P
0119_01,*MISSING*,False,A/0/P,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0,Batan,Coning,A,0,P
0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,1,Kleeiak,Coning,A,0,P
0120_01,Mars,True,F/25/P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,-224.5248716129468,Bees Sacre,1,Bees,Sacre,F,25,P
0122_01,Earth,False,G/21/S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0,Shelle,Hayder,G,21,S
0123_01,Earth,False,F/27/P,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0,Iree,Fielson,F,27,P
0126_01,Mars,True,F/27/S,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,Milly Mish,1,Milly,Mish,F,27,S
0127_01,Mars,False,E/7/S,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0,Miloss,Mesty,E,7,S
0128_01,Mars,False,D/3/S,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0,Grohs,Fles,D,3,S
0128_02,Mars,False,E/8/S,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0,Barave,Fles,E,8,S
0129_01,Earth,True,G/22/S,PSO J318.5-22,22.0,False,0.0,0.0,164.93991349223074,0.0,0.0,Race Fowles,1,Race,Fowles,G,22,S
0133_01,Mars,True,F/29/S,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,1,Flynx,Blie,F,29,S
0133_02,Mars,False,D/5/S,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0,Egrasp,Blie,D,5,S
0134_01,Earth,False,G/17/P,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,1,Camina,Harmontry,G,17,P
0136_01,Earth,False,G/23/S,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,*MISSING*,0,*MISSING*,*MISSING*,G,23,S
0138_01,Earth,True,G/18/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,1,Fayene,Gambs,G,18,P
0138_02,Earth,False,E/5/P,*MISSING*,34.0,False,0.0,22.0,0.0,564.0,207.0,Monah Gambs,0,Monah,Gambs,E,5,P
0139_01,Europa,True,C/6/S,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,Charda Myling,1,Charda,Myling,C,6,S
0140_01,Earth,True,G/19/P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,1,Evaley,Mejiaddox,G,19,P
0140_02,Earth,False,F/29/P,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,0,Verney,Whitakers,F,29,P
0141_01,Mars,False,F/30/P,TRAPPIST-1e,31.0,False,676.0020618738629,0.0,97.0,0.0,0.0,Pyrohs Harte,0,Pyrohs,Harte,F,30,P
0144_01,Earth,False,F/31/S,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,1,Guadae,Dayers,F,31,S
0146_01,Earth,False,G/25/S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,0,Verly,Wolferguson,G,25,S
0147_01,Earth,True,G/26/S,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,1,Samie,Hubbarrison,G,26,S
0148_01,Mars,False,F/31/P,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0,Corsh,Pashe,F,31,P
0149_01,Earth,True,G/27/S,55 Cancri e,22.321447777214438,False,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,1,Billya,Hubbarrison,G,27,S
0151_01,Earth,True,G/20/P,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,Shanie Simson,0,Shanie,Simson,G,20,P
0152_01,Earth,False,F/32/P,*MISSING*,41.0,False,0.0,0.0,0.0,0.0,607.0,Andan Estron,0,Andan,Estron,F,32,P
0160_01,Earth,False,G/22/P,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,0,Gory,Atkinney,G,22,P
0163_01,Europa,True,B/8/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,1,Kabiton,Hetforhaft,B,8,P
0163_02,Europa,True,B/8/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,1,Scharab,Hetforhaft,B,8,P
0164_01,Earth,False,G/28/S,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,595.9179375023216,135.0,Fany Hutchinton,1,Fany,Hutchinton,G,28,S
0164_02,Earth,True,G/28/S,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,0,Ianya,Hutchinton,G,28,S
0165_01,Mars,True,F/37/P,TRAPPIST-1e,35.0,*MISSING*,0.0,0.0,0.0,0.0,0.0,Graven Anche,1,Graven,Anche,F,37,P
0167_01,Mars,True,F/35/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Miten Floaf,1,Miten,Floaf,F,35,S
0167_02,Mars,False,F/35/S,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0,Rios,Floaf,F,35,S
0169_01,Earth,True,G/23/P,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,0,Wandy,Fisherry,G,23,P
0170_01,Earth,False,E/10/S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,0,Mollie,Mcmahoney,E,10,S
0171_01,Earth,True,G/30/S,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,1,Coracy,Gordanieves,G,30,S
0172_01,Earth,True,G/24/P,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,1,Hanna,Johnshines,G,24,P
0173_01,Earth,*MISSING*,E/11/S,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,1,Hilip,Grifford,E,11,S
0174_01,Earth,False,F/38/P,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,0,Doryn,Lambles,F,38,P
0177_01,Europa,False,B/2/S,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,0,Toperon,Iniouser,B,2,S
0178_01,Mars,False,D/6/S,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,Wees Knik,0,Wees,Knik,D,6,S
0179_01,Earth,False,G/26/P,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,1,Elaney,Webstephrey,G,26,P
0179_02,Earth,False,G/26/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,0,Raque,Webstephrey,G,26,P
0179_03,Earth,False,G/26/P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,1,Sallyl,Webstephrey,G,26,P
0181_01,Earth,False,G/27/P,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,0,Nancis,Brighttt,G,27,P
0182_01,Europa,True,C/3/P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,1,Ksorab,Disight,C,3,P
0183_01,Earth,False,F/36/S,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,Stany Weaves,1,Stany,Weaves,F,36,S
0186_01,Earth,False,G/28/P,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,0,Camiet,Shephendry,G,28,P
0188_01,Earth,True,G/31/S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Branda Romez,1,Branda,Romez,G,31,S
0189_01,Earth,False,E/8/P,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,Helly Booters,0,Helly,Booters,E,8,P
0190_01,Earth,True,G/32/S,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,*MISSING*,0,*MISSING*,*MISSING*,G,32,S
0192_01,Earth,True,G/29/P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,1,Tance,Adavisons,G,29,P
